"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.435885580E-1,-3.000000119E-1,9.643050194E0,2.074050188E0
4.448485580E-1,-2.329500169E-1,9.576000214E0,2.067000151E0
4.461086330E-1,-2.760000229E-1,9.598050117E0,2.020950079E0
4.473686350E-1,-2.539499998E-1,9.673950195E0,2.038050175E0
4.486286350E-1,-2.880000174E-1,9.651000023E0,1.987950087E0
4.498886350E-1,-2.880000174E-1,9.595050812E0,2.044950008E0
4.511488640E-1,-2.710500062E-1,9.652950287E0,2.026050091E0
4.524088660E-1,-3.049500287E-1,9.660000801E0,2.031000137E0
4.536688660E-1,-3.090000153E-1,9.604950905E0,2.028000116E0
4.549288660E-1,-2.740500271E-1,9.604950905E0,2.035950184E0
4.561888660E-1,-3.049500287E-1,9.667050362E0,2.040000200E0
4.574488660E-1,-2.539499998E-1,9.628950119E0,2.059950113E0
4.587089410E-1,-2.380500138E-1,9.588000298E0,2.071950197E0
4.599689430E-1,-2.449500114E-1,9.636000633E0,2.083950043E0
4.612289010E-1,-2.860500216E-1,9.604950905E0,2.091000080E0
4.624889010E-1,-2.830500007E-1,9.655050278E0,2.067000151E0
4.637489010E-1,-2.500500083E-1,9.684000015E0,2.088000059E0
4.650091300E-1,-2.569500208E-1,9.631050110E0,2.047950029E0
4.662689010E-1,-2.779500186E-1,9.639000893E0,2.047950029E0
4.675291300E-1,-2.520000041E-1,9.636000633E0,2.098050117E0
4.687891320E-1,-2.520000041E-1,9.652950287E0,2.047950029E0
4.700491320E-1,-2.809500098E-1,9.612000465E0,2.020950079E0
4.713091270E-1,-3.049500287E-1,9.628950119E0,2.044950008E0
4.725692020E-1,-2.659500241E-1,9.655050278E0,2.055000067E0
4.738292040E-1,-2.710500062E-1,9.628950119E0,2.047950029E0
4.750892040E-1,-3.139500022E-1,9.648000717E0,2.035950184E0
4.763492040E-1,-2.830500007E-1,9.628950119E0,2.014050007E0
4.776092040E-1,-3.139500022E-1,9.627000809E0,2.055000067E0
4.788692040E-1,-2.740500271E-1,9.651000023E0,2.047950029E0
4.801294320E-1,-3.210000098E-1,9.628950119E0,2.056950092E0
4.813894290E-1,-3.289500177E-1,9.612000465E0,2.056950092E0
4.826494290E-1,-2.860500216E-1,9.643050194E0,2.055000067E0
4.839094290E-1,-2.779500186E-1,9.655050278E0,2.056950092E0
4.851694290E-1,-2.329500169E-1,9.655050278E0,2.005050182E0
4.864294290E-1,-2.899500132E-1,9.646050453E0,2.068950176E0
4.876894290E-1,-3.360000253E-1,9.652950287E0,2.035950184E0
4.889495040E-1,-2.590500116E-1,9.648000717E0,2.056950092E0
4.902095060E-1,-2.899500132E-1,9.639000893E0,2.076000214E0
4.914694820E-1,-3.049500287E-1,9.595050812E0,2.032950163E0
4.927294820E-1,-2.929500043E-1,9.598050117E0,2.100000143E0
4.939894820E-1,-2.899500132E-1,9.651000023E0,2.095950127E0
